Дата,Имя,Telegram ID,Город,С,По,Категория,Комментарий
2025-05-06 09:57,Alex Kirpichev,6047596896,Россия,19.09,20.09,5,нет
2025-05-06 14:55,MrHulk,752669237,Китай,20.05.2025,30.05.2025,4,Нет
2025-05-06 15:40,Alex Kirpichev,6047596896,1,1,1,1,22
